DATE,CRDQUSAPABIS,CRDQUSBPUBIS,Shadow_Bank_Credit,Net_Equity_Issuance,Gross_Equity_Issuance,Equity_Repurchases,Equity_Retirements_MA
1970-01-01,920.172,471.69,48.73893141716984,,,,
1970-04-01,943.967,482.96,48.83719452057117,,,,
1970-07-01,960.905,491.46,48.85446532175397,,,,
1970-10-01,981.085,502.39,48.7924084049802,,,,
1971-01-01,994.486,506.63,49.056095309536786,,,,
1971-04-01,1025.346,526.39,48.66220768404032,,,,
1971-07-01,1049.77,543.63,48.214370766929896,,,,
1971-10-01,1077.712,560.7,47.97311341063289,,,,
1972-01-01,1099.111,573.51,47.82055679544651,,,,
1972-04-01,1139.652,601.55,47.216343234601446,,,,
1972-07-01,1168.057,621.29,46.80995876057419,,,,
1972-10-01,1210.643,649.6,46.34256341464825,,,,
1973-01-01,1246.838,679.17,45.52860916975582,,,,
1973-04-01,1295.54,713.45,44.93029933464038,,,,
1973-07-01,1336.394,740.11,44.61887736700404,,,,
1973-10-01,1373.126,759.45,44.69189280517592,,,,
1974-01-01,1399.728,773.78,44.719259741892714,,,,
1974-04-01,1452.27,807.46,44.400145978364904,,,,
1974-07-01,1490.429,827.86,44.454918684486145,,,,
1974-10-01,1523.934,842.35,44.72529650234196,,,,
1975-01-01,1531.672,836.81,45.36624029165514,,,,
1975-04-01,1556.872,852.29,45.256257418721646,,,,
1975-07-01,1581.501,862.51,45.46257005212137,,,,
1975-10-01,1615.051,880.37,45.48964707616044,,,,
1976-01-01,1635.133,888.56,45.658243090929,,,,
1976-04-01,1682.642,917.84,45.45244918408075,,,,
1976-07-01,1723.078,941.26,45.373337713092496,,,,
1976-10-01,1773.575,969.75,45.322301002213045,,,,
1977-01-01,1816.288,994.19,45.262535456931936,,,,
1977-04-01,1886.176,1038.05,44.96536908538758,,,,
1977-07-01,1947.699,1076.18,44.74608242854774,,,,
1977-10-01,2020.846,1115.71,44.78995430626579,,,,
1978-01-01,2072.739,1146.42,44.69057609279316,,,,
1978-04-01,2163.082,1199.76,44.53469632681516,,,,
1978-07-01,2238.138,1240.92,44.55569763794725,,,,
1978-10-01,2315.825,1281.08,44.68148499994602,,,,
1979-01-01,2378.591,1310.51,44.90393682646575,,,,
1979-04-01,2476.7,1356.97,45.21056244195905,,,,
1979-07-01,2566.476,1407.0,45.17774567149664,,,,
1979-10-01,2643.895,1442.7,45.43278004610622,,,,
1980-01-01,2713.36,1463.92,46.047704690862986,,,,
1980-04-01,2752.864,1459.51,46.98212479802853,,,,
1980-07-01,2815.092,1486.05,47.21131671718012,,,,
1980-10-01,2897.916,1533.11,47.09612010838134,,,,
1981-01-01,2941.973,1543.16,47.54676538499843,,,,
1981-04-01,3037.361,1581.18,47.94230912953712,,,,
1981-07-01,3118.295,1619.68,48.05879495044568,,,,
1981-10-01,3188.017,1643.76,48.43942174712368,,,,
1982-01-01,3234.264,1655.93,48.80040714054264,,,,
1982-04-01,3306.752,1681.95,49.13588923511651,,,,
1982-07-01,3354.121,1691.01,49.58410862339194,,,,
1982-10-01,3408.601,1696.33,50.23383493697268,,,,
1983-01-01,3449.914,1698.82,50.757613088326266,,,,
1983-04-01,3541.234,1734.33,51.02469929973563,,,,
1983-07-01,3638.934,1786.44,50.90760096225983,,,,
1983-10-01,3758.761,1857.38,50.585312553791,,,,
1984-01-01,3862.041,1914.11,50.437864331321194,,,,
1984-04-01,4018.861,2003.63,50.144331938825445,,,,
1984-07-01,4142.505,2073.7,49.940917391771414,,,,
1984-10-01,4303.374,2156.44,49.88955177960363,,,,
1985-01-01,4429.767,2196.67,50.41116158028176,,,,
1985-04-01,4574.692,2259.73,50.60366905575282,,,,
1985-07-01,4710.204,2315.56,50.83949654834483,,,,
1985-10-01,4907.862,2395.09,51.198913090873376,,,,
1986-01-01,4993.852,2410.56,51.72944652745015,,,,
